PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Nikola Vucevic,CHI,21,6.3,36.9,1.02,6.5,2.8,5.5,50,54.3,6,9,6,2.3,47.4,29.2
Daniel Theis,LAC,9,2.8,34.2,1.2,3.3,1.4,2.4,59.1,63.6,8,4,8,0,56,61.5
Alperen Sengun,HOU,17,6.9,33.6,1.12,7.7,3.2,5.8,55.1,58.7,11.1,7.7,9.4,2.6,53.8,45.8
Duop Reath,POR,11,2.2,30.4,0.71,1.5,0.5,1.9,23.8,33.3,8.3,4.2,8.3,0,29.2,3.1
James Wiseman,DET,10,1.4,28,1.14,1.6,0.6,1.1,54.5,54.5,21.4,0,21.4,0,64.3,49.5
Drew Eubanks,PHX,19,1.7,27.7,1.12,1.9,0.8,1.5,51.7,51.7,15.2,0,12.1,3,57.6,46.9
Dario Saric,GSW,20,2.8,27.6,1.02,2.8,0.9,2.5,36,49,7.3,1.8,7.3,0,40,28.1
Paul Reed,PHI,19,1.4,27.6,1,1.4,0.6,1.3,48,52,3.7,3.7,3.7,0,48.1,25.5
Luke Kornet,BOS,14,0.8,26.8,2,1.6,0.6,0.6,100,100,27.3,0,27.3,9.1,100,100
Deandre Ayton,POR,18,3.4,26.6,1.08,3.7,1.7,2.8,58.8,58.8,6.6,11.5,6.6,1.6,54.1,39.6
Charles Bassey,SAS,19,0.8,26.3,1.53,1.2,0.6,0.7,78.6,78.6,6.7,6.7,6.7,6.7,73.3,93.8
DeAndre Jordan,DEN,6,1.7,26.3,1.6,2.7,1.2,1.5,77.8,77.8,40,0,40,30,80,97.9
Nick Richards,CHA,12,1.7,26,1.55,2.6,0.8,1,75,75,35,5,35,0,80,95.8
Zeke Nnaji,DEN,19,1,26,1.37,1.4,0.4,0.7,57.1,60.7,36.8,0,31.6,10.5,68.4,82.1
Jalen Duren,DET,13,3.2,25.8,1.34,4.2,1.7,2.5,68.8,68.8,24.4,9.8,24.4,12.2,65.9,79.2
Jakob Poeltl,TOR,20,2.5,25.7,1.49,3.7,1.7,2.1,81,81,12.2,6.1,12.2,4.1,75.5,88.5
Zach Collins,SAS,19,3.7,25.2,0.89,3.3,1.3,3.2,41,46.7,4.3,8.6,4.3,0,40,12.5
Moritz Wagner,ORL,20,2.6,25,1.27,3.3,1.4,2.2,62.8,64,17.3,7.7,17.3,7.7,61.5,71.9
Ivica Zubac,LAC,19,2.6,24.8,1.1,2.9,1.1,1.6,67.7,67.7,22,20,22,4,60,44.8
Bismack Biyombo,MEM,13,1.8,24,1,1.8,0.8,1.6,52.4,52.4,4.3,8.7,4.3,4.3,47.8,25.5
Myles Turner,IND,18,3.6,23.7,1.5,5.3,1.8,2.9,62.3,73.6,20.3,4.7,20.3,7.8,64.1,92.5
Daniel Gafford,WAS,17,1.9,23.7,1.46,2.8,1.2,1.6,77.8,77.8,21.2,6.1,21.2,9.1,72.7,86.5
Jalen Smith,IND,14,1.7,23.5,1.58,2.7,0.9,1.2,76.5,97.1,12.5,16.7,12.5,0,66.7,96.9
Dereck Lively II,DAL,17,1.6,23.3,1.25,2.1,0.9,1.4,62.5,62.5,17.9,3.6,17.9,7.1,60.7,69.9
Mark Williams,CHA,18,2.5,23.2,1.2,3,1.2,2,61.1,61.1,15.6,6.7,15.6,2.2,62.2,61.5
Wendell Carter Jr.,ORL,5,2.8,23,0.79,2.2,0.6,1.8,33.3,38.9,21.4,14.3,21.4,0,42.9,6.3
Jarrett Allen,CLE,15,2.6,22.8,1.18,3.1,1.3,2.1,64.5,64.5,15.4,12.8,15.4,7.7,59,53.1
Rudy Gobert,MIN,19,2.7,22.2,1.1,3,1.1,1.8,58.8,58.8,30.8,13.5,28.8,9.6,57.7,43.8
Kristaps Porzingis,BOS,15,3.3,21.6,1.3,4.3,1.6,2.9,54.5,65.9,8,6,8,2,54,76
Jaylin Williams,OKC,14,1,21.5,0.93,0.9,0.4,1,35.7,46.4,0,0,0,0,35.7,18.8
Jaxson Hayes,LAL,18,0.7,21.4,0.92,0.6,0.2,0.4,57.1,57.1,16.7,25,8.3,0,50,15.8
Nic Claxton,BKN,10,2.1,20.8,1.38,2.9,1.2,1.8,66.7,66.7,19,0,19,4.8,66.7,84.4
Dwight Powell,DAL,17,0.6,20.8,1.36,0.9,0.3,0.4,71.4,71.4,36.4,9.1,36.4,9.1,72.7,80.2
Chet Holmgren,OKC,19,3.2,20.5,1.23,3.9,1.3,2.7,47.1,55.9,18.3,1.7,18.3,5,53.3,65.6
Onyeka Okongwu,ATL,19,1.5,20.3,1.31,2,0.7,1.1,66.7,66.7,24.1,6.9,24.1,3.4,65.5,77.1
Marvin Bagley III,DET,19,1.8,20.1,1.09,1.9,0.8,1.5,55.2,55.2,11.8,2.9,11.8,0,55.9,41.7
Anthony Davis,LAL,20,4,19.2,1.06,4.2,1.6,3.2,50.8,50.8,15.2,7.6,15.2,2.5,53.2,34.4
Evan Mobley,CLE,20,3,19.2,0.93,2.8,1.2,2.3,51.1,51.1,11.9,13.6,11.9,1.7,49.2,19.8
Precious Achiuwa,TOR,14,1.7,19.2,0.96,1.6,0.7,1.6,45.5,47.7,12.5,0,12.5,4.2,45.8,22.9
Clint Capela,ATL,19,1.9,19.1,0.97,1.8,0.9,1.9,47.2,47.2,2.8,0,2.8,2.8,47.2,24
Jusuf Nurkic,PHX,20,2.5,18.8,0.9,2.2,0.9,2,46.2,48.7,10.2,14.3,10.2,4.1,42.9,13.5
Jonas Valanciunas,NOP,21,2.3,18.6,1.38,3.1,1.3,2.1,63.6,68.2,8.3,2.1,6.3,2.1,64.6,83.3
Danilo Gallinari,WAS,17,1.3,18.6,1.09,1.4,0.6,1.2,47.6,52.4,4.5,0,0,0,50,42.7
Larry Nance Jr.,NOP,14,0.8,18.6,1.18,0.9,0.4,0.8,54.5,59.1,0,0,0,0,54.5,54.7
Joel Embiid,PHI,16,5.4,18.3,1.08,5.9,2.1,4.2,49.3,52.2,16.1,9.2,12.6,2.3,51.7,38.5
