LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
P. Tucker - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,3,16.4,40,13.7,26.7,51.3,5.3,11.3,47.1,7.3,8.7,84.6,2,13,15,9.3,5.3,3,3.7,2,5.7,6,8.3
N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,7,13.8,40.9,13.7,26.9,51.1,5.1,11.7,43.9,8.3,9.9,84.1,4.3,10.4,14.7,9.4,3.1,1.3,2,1.1,6.1,6.6,7.7
T. Harris - J. Embiid - K. Oubre Jr. - D. Melton - T. Maxey,PHI,7,13.1,32.9,11.7,24.7,47.4,2.6,9,28.6,6.9,8.1,84.2,2.3,8.7,11,7.3,3.4,2,1.7,2.1,4.4,6,-1.7
T. Harris - R. Covington - J. Embiid - D. Melton - T. Maxey,PHI,7,9.7,23.4,8.4,17.9,47.2,2.3,5.6,41,4.3,4.4,96.8,1.9,6.7,8.6,5.7,2.7,0.7,1.3,1.7,4,3.3,-1.9
T. Harris - R. Covington - T. Maxey - P. Reed - J. Springer,PHI,1,8.1,23,9,13,69.2,3,5,60,2,2,100,1,4,5,4,4,3,1,1,2,2,8
P. Beverley - M. Morris Sr. - T. Harris - D. Melton - P. Reed,PHI,2,7.5,19,8,14.5,55.2,1.5,4,37.5,1.5,1.5,100,1.5,5,6.5,2.5,2,1.5,1,0.5,2.5,1,-1
P. Beverley - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,3,7.2,14.7,5.7,13,43.6,1,5.7,17.6,2.3,2.3,100,1.3,3.3,4.7,3.3,1.7,1.7,1,0.7,3,1.7,-2.7
P. Beverley - T. Harris - F. Korkmaz - T. Maxey - P. Reed,PHI,1,7,12,4,13,30.8,1,4,25,3,3,100,3,4,7,2,4,1,0,0,3,3,-3
N. Batum - P. Beverley - M. Morris Sr. - T. Maxey - P. Reed,PHI,2,6.5,21.5,8,14.5,55.2,4,7.5,53.3,1.5,1.5,100,2,4,6,5.5,0,2,0,0.5,2,2,12.5
T. Harris - D. House Jr. - T. Maxey - P. Reed - J. Springer,PHI,2,5.9,8.5,3,11.5,26.1,1.5,5,30,1,1,100,2,3.5,5.5,1,1.5,1,1,0,3.5,0.5,-5.5
N. Batum - M. Morris Sr. - T. Harris - D. Melton - T. Maxey,PHI,3,5.8,12.7,5,11.3,44.1,1.7,5,33.3,1,1.7,60,1.7,2.3,4,2.7,2,0.7,1,0,4,2.3,-7.3
P. Beverley - M. Morris Sr. - R. Covington - T. Maxey - P. Reed,PHI,2,5.3,14.5,5,9.5,52.6,2.5,4,62.5,2,3,66.7,1,2,3,3.5,1,1,0,0,3.5,3,0
P. Beverley - M. Morris Sr. - J. Embiid - D. House Jr. - D. Melton,PHI,1,5.2,19,5,8,62.5,1,3,33.3,8,8,100,0,6,6,3,1,1,0,1,2,5,4
F. Korkmaz - D. House Jr. - M. Bamba - K. Martin - J. Springer,PHI,2,4.8,8,2,7,28.6,0.5,3.5,14.3,3.5,5.5,63.6,1,4.5,5.5,2,3,2.5,0.5,1,2.5,3.5,1
T. Harris - R. Covington - D. House Jr. - T. Maxey - P. Reed,PHI,1,4.8,17,7,10,70,2,2,100,1,1,100,1,4,5,2,1,1,0,1,2,1,6
P. Beverley - T. Harris - R. Covington - F. Korkmaz - M. Bamba,PHI,1,4.7,14,4,8,50,4,6,66.7,2,2,100,1,3,4,4,3,3,0,1,3,1,2
P. Beverley - M. Morris Sr. - R. Covington - J. Embiid - T. Maxey,PHI,2,4.5,6,1.5,6.5,23.1,0,3,0,3,4.5,66.7,0.5,4,4.5,1,1.5,0,0.5,0.5,2.5,2.5,-4
P. Beverley - T. Harris - D. House Jr. - T. Maxey - P. Reed,PHI,3,4.4,11.7,5,8.7,57.7,0.7,1.7,40,1,1.7,60,1.3,3.3,4.7,1.3,1.7,0.3,0.7,0.7,2.3,1.7,2.3
P. Beverley - T. Harris - R. Covington - M. Bamba - D. Melton,PHI,1,4.3,9,2,8,25,1,3,33.3,4,5,80,2,1,3,1,2,1,0,1,2,4,-4
P. Beverley - T. Harris - K. Oubre Jr. - T. Maxey - P. Reed,PHI,3,4.1,7.7,2,6.7,30,0,1.7,0,3.7,3.7,100,1.3,4.7,6,0.7,2,0,2,1.3,1.3,2.7,0.7
T. Harris - R. Covington - K. Oubre Jr. - T. Maxey - P. Reed,PHI,2,4.1,12,4.5,7.5,60,1.5,2.5,60,1.5,1.5,100,0,2,2,2,1,2,0.5,0.5,2,1.5,5
N. Batum - T. Harris - T. Maxey - P. Reed - J. Springer,PHI,3,4,11.3,4.3,8,54.2,1.3,2.3,57.1,1.3,1.7,80,1,2,3,3,0.7,1,0.7,0.7,0.7,1,1.7
T. Harris - D. House Jr. - D. Melton - P. Reed - J. Springer,PHI,1,3.9,13,5,7,71.4,2,4,50,1,1,100,1,3,4,4,1,0,0,0,2,1,5
P. Beverley - J. Embiid - D. House Jr. - T. Maxey - J. Springer,PHI,1,3.8,14,5,8,62.5,1,2,50,3,3,100,1,2,3,4,1,1,0,0,3,3,3
P. Beverley - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,PHI,4,3.8,9.3,3.8,8.5,44.1,0.8,1.8,42.9,1,1.5,66.7,2,2.5,4.5,1.3,0.3,1.3,0,0.5,1.8,1.5,1.5
P. Tucker - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,PHI,2,3.8,9.5,3,6,50,1.5,2.5,60,2,2,100,0,4,4,2.5,1,0.5,0.5,0.5,2,2,-1
T. Harris - J. Embiid - D. House Jr. - D. Melton - T. Maxey,PHI,1,3.8,15,4,8,50,1,2,50,6,6,100,0,3,3,3,1,0,0,0,4,3,5
T. Harris - J. Embiid - D. Melton - T. Maxey - J. Springer,PHI,3,3.8,10,4,7,57.1,0.7,2.3,28.6,1.3,1.7,80,0.7,2,2.7,2.7,1,1,0,0.3,1.3,1.7,-0.3
D. Green - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,PHI,1,3.7,5,2,6,33.3,1,3,33.3,0,0,0,0,2,2,2,1,1,0,1,1,0,-4
N. Batum - P. Beverley - R. Covington - J. Embiid - K. Oubre Jr.,PHI,1,3.7,9,4,8,50,1,3,33.3,0,0,0,1,4,5,3,0,2,2,0,0,0,6
P. Beverley - K. Oubre Jr. - D. House Jr. - T. Maxey - P. Reed,PHI,2,3.7,11,4.5,9,50,0.5,2.5,20,1.5,1.5,100,2,3,5,1.5,0.5,1,0.5,0,2,1,4
D. Green - T. Harris - J. Embiid - K. Oubre Jr. - D. Melton,PHI,1,3.6,11,5,8,62.5,1,3,33.3,0,2,0,0,3,3,3,0,0,0,0,1,1,-3
N. Batum - T. Harris - J. Embiid - K. Oubre Jr. - T. Maxey,PHI,2,3.6,10,3.5,7,50,0.5,1.5,33.3,2.5,2.5,100,2.5,4.5,7,1.5,1.5,0,0.5,0.5,2.5,1.5,4
P. Beverley - R. Covington - J. Embiid - D. House Jr. - J. Springer,PHI,1,3.6,8,3,7,42.9,0,1,0,2,2,100,2,2,4,3,1,2,1,1,2,2,2
P. Beverley - T. Harris - J. Embiid - K. Oubre Jr. - D. Melton,PHI,2,3.6,12,5.5,9,61.1,1,3,33.3,0,1,0,1.5,3,4.5,5,0.5,2,0.5,0.5,1.5,1.5,5.5
P. Beverley - J. Embiid - K. Oubre Jr. - D. House Jr. - D. Melton,PHI,1,3.5,11,4,5,80,1,1,100,2,3,66.7,0,2,2,1,1,0,0,1,2,2,-6
N. Batum - M. Morris Sr. - R. Covington - T. Maxey - P. Reed,PHI,1,3.4,7,2,7,28.6,1,4,25,2,2,100,0,2,2,0,0,1,0,0,3,1,-2
T. Harris - J. Embiid - F. Korkmaz - T. Maxey - J. Springer,PHI,1,3.4,10,3,5,60,1,3,33.3,3,3,100,0,3,3,2,1,1,0,0,0,3,8
N. Batum - M. Morris Sr. - J. Embiid - D. Melton - T. Maxey,PHI,2,3.3,13.5,4.5,6.5,69.2,2.5,2.5,100,2,2,100,0.5,2,2.5,3.5,0,0.5,0,0,1,1.5,5.5
P. Beverley - J. Embiid - F. Korkmaz - D. Melton - J. Springer,PHI,1,3.3,7,0,3,0,0,1,0,7,8,87.5,1,3,4,0,2,0,1,0,1,3,2
P. Beverley - R. Covington - M. Bamba - D. Melton - K. Martin,PHI,2,3.3,7,2.5,6,41.7,1.5,3,50,0.5,1,50,1,2,3,2,0,0.5,1,0.5,1,1.5,-0.5
P. Beverley - T. Harris - R. Covington - T. Maxey - P. Reed,PHI,1,3.3,7,2,3,66.7,0,1,0,3,3,100,0,2,2,1,2,0,0,0,1,2,-1
P. Beverley - R. Covington - T. Maxey - P. Reed - K. Martin,PHI,1,3.2,13,4,5,80,3,4,75,2,2,100,0,1,1,4,1,0,0,0,2,1,4
P. Beverley - T. Harris - J. Embiid - F. Korkmaz - T. Maxey,PHI,1,3.2,6,3,6,50,0,1,0,0,0,0,0,3,3,1,1,2,0,0,1,0,2
P. Beverley - F. Korkmaz - M. Bamba - K. Martin - J. Springer,PHI,1,3.1,10,4,5,80,0,1,0,2,2,100,0,1,1,4,1,1,0,0,1,2,3
P. Beverley - J. Embiid - K. Oubre Jr. - F. Korkmaz - J. Springer,PHI,1,3.1,6,2,6,33.3,1,2,50,1,1,100,0,2,2,2,0,0,0,2,0,2,0
P. Beverley - R. Covington - J. Embiid - F. Korkmaz - D. Melton,PHI,2,3.1,1.5,0.5,4,12.5,0.5,2,25,0,0,0,1,2.5,3.5,0,2.5,1,0,0.5,1,0,-3
R. Covington - F. Korkmaz - M. Bamba - D. Melton - K. Martin,PHI,1,3.1,10,3,9,33.3,1,3,33.3,3,3,100,2,2,4,1,0,0,1,0,2,1,4
T. Harris - D. Melton - T. Maxey - P. Reed - J. Springer,PHI,2,3.1,7.5,2.5,6,41.7,0.5,1,50,2,4,50,1.5,2,3.5,0.5,0.5,0.5,0.5,0,1.5,2,-2.5
N. Batum - R. Covington - J. Embiid - D. Melton - J. Springer,PHI,1,3,9,3,4,75,2,3,66.7,1,2,50,1,3,4,1,1,1,0,0,3,1,3
