PLAYER,TEAM,AGE,GP,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,% LOOSE BALLS RECOVERED OFF,% LOOSE BALLS RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,CONTESTED SHOTS
Anthony Davis,LAL,30,24,35.2,6.2,13.3,2.5,0.6,0.4,1,60.9,39.1,0.04,9.6,3.1,12.8
Domantas Sabonis,SAC,27,23,35,5.3,13,1.8,0.3,0.4,0.7,43.8,56.3,0,7.7,1.8,9.5
Daniel Gafford,WAS,25,21,24.9,4.8,10.5,1.4,0.2,0.3,0.5,40,60,0.1,8.3,1.2,9.6
Jalen Duren,DET,20,14,28.8,4.7,10.1,1.5,0.5,0.4,0.9,58.3,41.7,0,7.6,1.9,9.5
Jarrett Allen,CLE,25,20,28.8,4.7,10.8,1.1,0.4,0.1,0.5,88.9,11.1,0,7.5,2.2,9.7
Rudy Gobert,MIN,31,23,32.3,4.7,11.1,1.4,0.2,0.1,0.3,71.4,28.6,0,9.1,1.6,10.7
Nikola Jokic,DEN,28,25,33.4,4.7,10.3,3.5,0.4,0.4,0.8,50,50,0.08,5.8,1.9,7.8
Wendell Carter Jr.,ORL,24,5,29.4,4.4,9.6,0.8,0,0.6,0.6,0,100,0,6.2,1.6,7.8
Nikola Vucevic,CHI,33,26,34.5,4.4,9.4,1.7,0.4,0.3,0.7,58.8,41.2,0,5.5,3.6,9.1
Mark Williams,CHA,21,19,26.8,4.4,9.7,1.5,0.4,0.3,0.7,57.1,42.9,0,6.4,2.3,8.7
Kevon Looney,GSW,27,24,22.2,4.3,10,0.8,0.4,0.3,0.7,58.8,41.2,0,5.8,2.5,8.3
Myles Turner,IND,27,23,27.5,4.1,9.3,1.2,0.2,0.1,0.3,71.4,28.6,0.04,7.6,2.2,9.8
Jusuf Nurkic,PHX,29,25,28.3,4,8,2.1,0.5,0.2,0.7,76.5,23.5,0.04,7.8,1,8.9
Mitchell Robinson,NYK,25,21,29.2,3.9,8.5,1.9,0.4,0.3,0.7,53.3,46.7,0,5.6,2.1,7.7
Ben Simmons,BKN,27,6,31.8,3.8,8.7,2.3,0.3,0.3,0.7,50,50,0.17,3,2.2,5.2
Alperen Sengun,HOU,21,22,32.3,3.8,8.8,2.4,0.5,0.1,0.6,83.3,16.7,0.14,7.4,2.3,9.7
Clint Capela,ATL,29,24,25.9,3.8,8.6,1.2,0.4,0.2,0.6,66.7,33.3,0.25,8.1,1.4,9.5
Zach Collins,SAS,26,24,27.3,3.7,8.1,0.9,0.2,0.3,0.5,33.3,66.7,0.08,8.4,2.2,10.5
Deandre Ayton,POR,25,19,31.4,3.7,8,2.2,0.4,0.2,0.6,66.7,33.3,0,7.3,2.5,9.8
Ivica Zubac,LAC,26,24,26.9,3.7,8.3,0.5,0.3,0,0.3,87.5,12.5,0,8,2.3,10.3
Joel Embiid,PHI,29,21,34.1,3.7,8.9,1.6,0.6,0.6,1.1,50,50,0,10.6,3,13.5
Brook Lopez,MIL,35,24,30.8,3.5,8,1.7,0.3,0.4,0.7,47.1,52.9,0,14.1,1.5,15.6
Nick Richards,CHA,26,17,20.6,3.4,7.6,0.3,0.3,0.1,0.4,85.7,14.3,0.06,4.7,1.3,6
Onyeka Okongwu,ATL,23,24,24,3.4,8,1.2,0.3,0.2,0.5,54.5,45.5,0,5.4,2,7.4
Jakob Poeltl,TOR,28,25,26.7,3.3,7,1,0.4,0.1,0.4,81.8,18.2,0.04,7.5,1.6,9.1
DeAndre Jordan,DEN,35,10,14.7,3.2,7.6,0.4,0,0,0,0,0,0,2.5,0.6,3.1
Isaiah Hartenstein,NYK,25,24,19,3.2,7,1.6,0.3,0.4,0.8,44.4,55.6,0,4.9,1.3,6.2
Bam Adebayo,MIA,26,16,33.5,3.1,7.4,1.8,0.3,0.3,0.6,55.6,44.4,0.06,4.6,2.5,7.1
Day'Ron Sharpe,BKN,22,24,16,3.1,6.7,1.1,0.3,0.3,0.6,57.1,42.9,0,3.9,0.9,4.8
Dereck Lively II,DAL,19,22,26.2,3,6.5,1.4,0.5,0.2,0.6,71.4,28.6,0,9.3,2.8,12.1
Bismack Biyombo,MEM,31,19,24.8,3,6.7,0.8,0.4,0.2,0.5,70,30,0,5.7,1.6,7.3
Jonas Valanciunas,NOP,31,26,27.6,2.9,6.3,0.7,0.3,0.3,0.6,53.3,46.7,0,6,1.7,7.7
Giannis Antetokounmpo,MIL,29,23,35,2.8,6.3,2.9,0.7,0.4,1.1,60,40,0,4,2.9,6.8
Goga Bitadze,ORL,24,22,21.2,2.8,6.1,1.8,0.2,0.1,0.3,57.1,42.9,0.05,5.5,1.2,6.7
Orlando Robinson,MIA,23,11,18,2.7,5.7,1,0.2,0.1,0.3,66.7,33.3,0,5.4,1,6.4
Kristaps Porzingis,BOS,28,18,30.3,2.7,6.3,1.5,0.2,0.2,0.4,57.1,42.9,0,8.2,3.1,11.3
Marvin Bagley III,DET,24,20,18.3,2.7,6,0.5,0.3,0.2,0.6,63.6,36.4,0.25,5.3,1.6,6.8
Mason Plumlee,LAC,33,6,17,2.7,5.2,1.5,0,0.5,0.5,0,100,0.33,2.5,0.3,2.8
Robert Williams III,POR,26,6,19.8,2.7,6.2,1.8,0.2,0,0.2,100,0,0,2.7,2.2,4.8
Nic Claxton,BKN,24,15,26.8,2.5,5.4,1.7,0.3,0.3,0.6,44.4,55.6,0,9,2.5,11.5
Chet Holmgren,OKC,21,23,29.8,2.4,4.7,1.4,0.3,0.2,0.5,54.5,45.5,0.04,10.8,2,12.9
Evan Mobley,CLE,22,21,33.6,2.4,5.3,1.7,0.5,0.2,0.7,73.3,26.7,0,8.4,3.3,11.8
Paul Reed,PHI,24,24,13.9,2.4,5.2,1.8,0.3,0.3,0.5,46.2,53.8,0,4.2,1.5,5.6
Boban Marjanovic,HOU,35,3,6.7,2.3,5,0.3,0,0,0,0,0,0,1,0.3,1.3
Dwight Powell,DAL,32,21,13.9,2.3,5.5,1,0.1,0.1,0.2,40,60,0,4.5,1.3,5.9
Jaren Jackson Jr.,MEM,24,24,31.8,2.3,5.2,1.8,0.5,0.4,0.9,54.5,45.5,0,6.2,2.6,8.8
Danilo Gallinari,WAS,35,22,15.4,2.2,5.3,0.6,0.1,0.2,0.3,42.9,57.1,0.05,2.4,0.6,2.9
Drew Eubanks,PHX,26,24,17.1,2.1,4.7,1.3,0.1,0,0.2,75,25,0.08,4.3,1.2,5.5
Moritz Wagner,ORL,26,24,19.1,2.1,4.5,1.5,0.2,0.2,0.3,50,50,0.5,4,1.7,5.8
Victor Wembanyama,SAS,19,23,30.5,2,4.5,2.8,0.3,0.3,0.6,42.9,57.1,0.13,6.5,2.5,9
,,,,,,,,,,,,,,,,